Title_of_the_Review,Review_of_the_movie
"Soulless movie, even a soul sucking monster couldn't give this a soul",This is the worst marvel movie I have seen to date.after seeing the movie I was honestly surprised by all the high ratings. Did we watch the same thing? The movie is without a soul. Characters aren't build up enough even with a 2 hour run time. The movie literally got nothing to do with the ten rings. Movie became Godzilla vs King Kong at the end. Waste of 2 hours. Honestly clueless why people high praised for this movie. What a waste of opportunity to create a wonderful and authentic world for Asian marvel universe.
HORRIBLE,"This was so bad , I'm honestly shocked on how lazy the writing is I really am. This was probably the worst movie I've seen in a long time wow. No hate on the actors or even some fight scenes but this was sooooooooo bad."
KATY,"So, the fighting scenes were good, cgi not bad, chemistry in the movie between the cast were near absent, woowoo had an arc just for the big final fight to happen but whatever,

Movie is a 7 at best, but i removed 2 stars because,

KATY

what in the ass donkey is this character, so annoying, every scene she is in just drains your brain.

Even the voice, like woman, clear your throat or stop smoking or something ffs, feels like it was the only other asian chick available in wokewood."
Good action movie but don't think of it as marvel.,
Pretty solid,I had no preconceived ideas of what this movie would be but I was very surprised and delighted. It's probably one of the better standalone movies from the Marvel verse. I definitely enjoyed it more than Ant Man.
This movie surprised me,"Have not been a huge fan of the Disney/Marvel universe films as of late. But, this one was a shock to me.

This film was very well done. It was great because they had a very ""Jackie chan"" feel to the movie with the rhythm and pace of the fight scenes. Which made sense because of the trainer and stunt coordinator. He was the one that worked closely with Chan throughout his career.

The film was great because it steered clear of all of the ""PC"" B. S. and was just a great action superhero movie. It is all I want to see when I see a movie.

The action was INCREDIBLE. The main actor and actress that played the sister were incredible to watch. The story was also not too predictable, so it made it enjoyable.

I highly recommend watching this one to have it help kind of tie some of the old Iron man movies and some of the shows together."
Shang-chi is a super treat for marvel fans,"Shang-chi and the Legend of the Ten Rings review U/A Starring Simu Liu,Awkwafina,Tony Leung.

Rating=4/5 Positive 1. Simu Liu Acting 2. Casting 3. Fight Scenes 4. An entertaining 1st and 2nd half 5. Good Direction 6. Good Screenplay 7. Good Cinematography 8. Good Visuals 9. Music.

Negative 1. Lag.

2. Some logic mistakes.

Verdict=Shang-chi is a super treat for marvel fans Shang-chi=Superru Sabharish G Story: Shang-chi(Simu Liu) who is living in USA for 10 years with his best friend Katy(Awkwafina). After sometimee,he should go to his native town because of some reasons. How did he got that ten rings? THIS IS THE STORY.

Must Watch!"
Marvel's Inner Chi,"Shang-Chi is arguably the most original and entertaining origin story that Marvel's delivered in quite some time. Coming from someone who's slowly starting to get superhero fatigue from both sides of the aisle, this one delivers. It's a spectacle, and has a family drama that feel's Shakespearean at times. In many ways this is how I wanted the live-action version of Mulan to be."
The Visual is Major,"The Vibe of this movie is really really ""Asian"" and that's great. The story is not like what i expected but i love it. The concept is a little bit similliar like Black Panther. The friendship between Shang-Chi and Katy is wholesome. Unexpected and contain a good messages especially for Chinese.

The main thing that i really freakin love about this is the Visual and Music which is extremly amazing great! Gorgeous! Magnificent!"
"Not the most unique movie, but it's epic, action packed, and visually stunning!","I've watched this movie twice so far and I thought I'd enjoy it less on the rewatch, but I found it just as good.

Shang-Chi and the Legend of the Ten Rings is a very epic introduction to this character and keeps you invested in his origin story. While it's definitely not the most original story, they do a good job at making the character relatable enough to keep you emotionally invested.

Awkwafina was a nice addition to the movie and while some of her jokes were pretty corny, they still made me laugh (even on rewatch).

The highlights of the movie are definitely the bus scene near the beginning and the final beautiful action sequence. But all the action in general in this movie is pretty amazing.

While it has a different vibe than most MCU movies, the formula is definitely still there. This isn't necessarily a bad thing, but it would have been nice for this movie to have a bit more of a unique story.

Otherwise this is a stunning cinema experience, and even watching at home it will make you feel like you're in a movie theatre. Definitely recommend!"
